product,price,colors,desciption,type,brand
Cardigan,24.99,"red, blue",A warm cardigan for the cold winters,Winterwear,Gucci
Shirts,14,"rainbow, green",A cool t-shirt for anyone to wear,Clothing,Gucci
Kindle,129.99,white,A reading device that wouldn’t hurt your eye,Tech,Amazon
Pants,20.5,"red, tan",A way to make your legs look great,Clothing,Northface
Coat,25.89,"red, blue,purple",A way to keep warm while it's snowing outside,Winterwear,Northface
hat,15,"pink,black",Cap features a classic fit that provides comfort for long fishing days to casual wear.,Clothing,Gucci
swimwear,18.99,"blue, yellow, red, black, white",This trunk-style swimsuit features an elastic waistband with drawstring for a flexible yet secure fit,Clothing,Northface
Shoes,60.75,"blue, green",Soft midsole cushioning adds comfort as you head out for coffee or discover a busy side street,Clothing,Northface
Ceramic Plant Pot with Wood Stand,26.99,white, a stylish ornament to fit in various home decors and houseplants,Housing,HomeGoods
Socks,20.5,"black, white","keeps feet dry, ventilation channels engineered for air circulation and moisture control",Clothing,Gucci
Alexa,49.99,"Charcoal, Heather Gray, Plum, Sandstone",A artificial virtual assistant that definitely will not destroy humanity,Tech,Amazon
purse,150,"matte black, jade",elegant for men or women,Clothing,Northface
Watch,200,"gold, silver",Fancy and classy for any occasion,Clothing,Gucci
Microwave,89.98,black,Make your food warm,Tech,HomeGoods
Cushion,20,"orange, gray",A wonderful addition to any couch,Housing,HomeGoods
